,Star_name,Distance,Mass,Radius,Gravity
0,Sun,0.000015813,1.989e+30,695700000.0,274.2691614595739
1,Sirius,8.6,4.1769e+30,1189647000.0,196.971799550325
2,Canopus,310,2.9835e+31,49394700000.0,0.8161153386021839
3,Alpha Centauri,4.4,2.1879e+30,834840000.0,209.51116500384123
4,Arcturus,37,2.1879e+30,18088200000.0,0.44629597278924754
5,Vega,25,4.3758e+30,1878390000.0000002,82.76984296448046
6,Capella,43,5.1714e+30,8348400000.0,4.952082081908975
7,Rigel,860,4.574699999999999e+31,54890730000.00001,1.01332978543217
8,Procyon,11.4,2.9835e+30,1321830000.0,113.9622554541166
9,Betelgeuse,640,3.978e+31,660915000000.0,0.006077986957552885
10,Achernar,144,1.33263e+31,6470010000.000001,21.2464259657665
11,Hadar,390,2.08845e+31,5983020000.0,38.937617567949246
12,Altair,17,3.5802e+30,1252260000.0,152.37175636642996
13,Acrux,320,3.5801999999999996e+31,6191730000.0,62.326030883377484
14,Aldebaran,65,2.9835e+30,30610800000.0,0.21250193294905007
15,Antares,600,2.3868e+31,473076000000.0,0.0071177118025840995
16,Spica,260,2.2734269999999998e+31,5196879000.0,56.18003500809
17,Pollux,34,3.7790999999999997e+30,6122160000.000001,6.729227876719916
18,Fomalhaut,25,3.7790999999999997e+30,1252260000.0,160.8368539423427
19,Deneb,"2,600",3.7791e+31,141227100000.0,0.12645572733460908
20,Mimosa,350,3.1824e+31,5843880000.0,62.19255361895101
21,Regulus,77,7.558199999999999e+30,2156670000.0,108.45190567600218
22,Adhara,430,2.48625e+31,9739800000.0,17.491655705329972
23,Shaula,700,2.88405e+31,6122160000.000001,51.354633796020416
24,Castor,52,5.5692e+30,1669680000.0,133.3252868206262
25,Gacrux,88,2.9835e+30,58438800000.0,0.058305519017766566
26,Bellatrix,240,1.7105399999999998e+31,4035060000.0,70.11637302474244
27,Elnath,130,9.945e+30,2921940000.0,77.74069202368877
28,Miaplacidus,110,6.9615e+30,4730760000.0,20.759992757536956
29,Alnilam,"2,000",6.3648e+31,29219400000.0,4.975404289516081
30,Gamma Velorum,"1,100",1.7900999999999998e+31,4174200000.0,68.56729036489348
31,Alnair,101,7.956e+30,2365380000.0,94.90282403445465
32,Alioth,81,5.7681e+30,2921940000.0,45.08960137373948
33,Alnitak,1050,6.5637e+31,13914000000.0,22.62720582041485
34,Dubhe,120,8.453249999999999e+30,20871000000.0,1.2951599291146547
35,Mirfak,590,1.6906499999999999e+31,47307600000.0,0.5041712526830403
36,Wezen,"1,600",3.3812999999999997e+31,139140000000.0,0.11656439362031894
37,Sargas,270,1.13373e+31,18088200000.0,2.3126245862715553
38,Kaus Australis,140,6.9615e+30,4730760000.0,20.759992757536956
39,Avior,630,1.7900999999999998e+31,90441000000.0,0.14606050018557193
40,Alkaid,104,1.2132899999999998e+31,2365380000.0,144.72680665254333
41,Menkalinan,81,4.75371e+30,1927089000.0,85.43097080483021
42,Atria,390,1.3923e+31,64004400000.0,0.22682941046987445
43,Alhena,109,5.5692e+30,2295810000.0,70.51915997124031
44,Peacock,180,1.17351e+31,3339360000.0,70.23385645015132
45,Alsephina[2],80,4.7735999999999997e+30,2017530000.0,78.26943965552645
46,Mirzam,500,2.68515e+31,6957000000.0,37.02633679704249
47,Polaris,430,1.07406e+31,27132300000.0,0.973736667903813
48,Alphard,180,5.967e+30,34785000000.0,0.32912299375148873
49,Scheat,196,4.1769e+30,66091500000.0,0.0638188630543053
